Regne,Categorie,Code_espece,Nom_francais,Nom_latin,Nom_anglais,Nom latin,Espèces similaires,Description,Habitat,Propagation,Présence au Québec,Exercer contrôle,Feuilles,Fleurs,Fruits ou graines,Tige,Racines,Message d'alerte,Traits,Examples,img_path,is_invasive
Flore,Plantes aquatiques flottantes,CHATA,Châtaigne d'eau,Trapa natans,Water chestnut,Trapa natans,Aucune,"Plante flottante enracinée au substrat qui peut dominer rapidement la végétation indigène. Elle fait l'objet d'efforts de lutte au Québec et dans les provinces et états voisins.
",La châtaigne d'eau peut pousser dans différents type d'habitat d'eau douce mais préfère les eaux calmes riches en nutriments de moins de 6 m de profondeur. Elle préfère les substrats meubles mais elle peut pousser également sur des fonds rocheux. ,"Elle se propage par la dérive des rosettes détachées du plant mère. Elle peut aussi être propagée via le transport des  noix ou des rosettes par les embarcations, les remorques et l'équipement des pêcheurs. Les animaux peuvent contribuer au transport des noix s'accrochant à leur plumage ou à leur fourrure. La châtaigne d'eau peut être relâchée en milieu naturel par les amateurs de jardins d'eau.",Oui,,"La châtaigne d'eau a deux types de feuilles.
Les feuilles flottantes sont triangulaires ou en forme de losange de 5 à 8 cm de diamètre. La marge est dentelée. La surface des feuilles flottantes est luisante alors que le dessous est couvert de poils souples. Les feuilles forment une rosette pouvant atteindre 30 cm de diamètre. Elles ont des pétioles spongieux de 5 à 18 cm de long qui agissent comme des flotteurs.
Les feuilles submergées ont un aspect plumeux et sont disposées en paires le long de la tige.","Les fleurs sont petites, environ 1 cm de long. Elles sont composées de quatre pétales blancs et sont situées à la base de feuilles flottantes, au centre de la rosette. Elles apparaissent de la fin juin à septembre. ",Le fruit est une noix portant quatre épines très pointues. Une rosette peut former de 10 à 15 noix qui sont relâchées à la fin de l’été et se déposent au fond de l’eau. Les noix peuvent germer le printemps suivant ou quelques années plus tard et former de nouveaux plants.,"La portion submergée de la tige mesure entre 1 m et 5 m de long. La portion émergente de la tige est courte et porte les feuilles flottantes. La tige principale se ramifie au cours de l’été, produisant ainsi de nouvelles rosettes.",Les racines se développent à la base de la tige et fixent la plante au substrat. Elles sont nombreuses et finement ramifiées. Elle poursuit sa croissance même si elle est déracinée.,,"['Adventurous', 'Confident', 'Enigmatic', 'Fast-Growing', 'Mysterious', 'Adaptable']","[""Hey! I'm a fast-growing, adventurous chestnut with an enigmatic smile. Don't be fooled by my calm demeanor!"", ""Woah, slow down! That's a mysterious floating leaf of mine, not a bad hair day!"", ""Hey there, pal! I'm a confident water plant, and I say, life's better when you're adaptable!"", ""Zippity-doo-dah! You'll never guess my secret weapon against intruders. It's those sharp, pointy nuts of mine!""]",images/reference/trapa_natans.jpg,True
Flore,Plantes aquatiques flottantes,FAUXN,Faux-nymphéa pelté,Nymphoides peltata,Yellow floatingheart,Nymphoides peltata,"Hydrocharide grenouillette (<i>Hydrocharis morsus-ranae</i>), brasénie de Schreber (<i>Brasenia schreberi</i>), faux-nymphéa pelté (<i>Nymphoides peltata</i>), faux-nymphéa à feuilles cordées (<i>Nymphoides cordata</i>), grand nénuphar jaune (<i>Nuphar variegata</i>) et nymphéa odorant (<i>Nymphaea odorata</i>). Le <b>faux-nymphéa pelté</b> se distingue principalement grâce à ses pétales jaunes et frangés ainsi que par ses feuilles de petite taille à marge ondulée.  ",Le faux-nymphéa pelté est une plante vivace à feuilles flottantes enracinée au substrat. ,"Le faux-nymphéa pelté préfère les eaux calmes des rivières, des ruisseaux, des lacs et des canaux, sur des substrats boueux jusqu'à une profondeur de 4 m. ","Elle se propage par ses graines flottantes, par fragmentation et par ses rhizomes. Une nouvelle plante peut être produite à partir d'un fragment de feuille attaché à un bout de tige. Les amateurs de jardins d'eau peuvent également contribuer à sa propagation en la relâchant en milieu naturel.",Oui,,"Les feuilles sont de forme arrondie ou cordée et mesurent de 3 à 5 cm de diamètre (parfois jusqu'à 10 cm). Le marge de la feuille est entière et ondulée. La face supérieure des feuilles est verte ou ponctuée de petites taches pourpres, alors que la face inférieure est souvent pourpre ou violacée. ",Les fleurs sont d'un jaune vif et ont une marge dentelée. Elles sont émergentes et disposées en ombelle. Une seule fleur est ouverte à la fois. Chacune est composée de 5 pétales unis à la base et mesure de 3 à 4 cm de diamètre. ,Le fruit est une capsule contenant de nombreuses graines ovales et aplaties. La marge des graines porte des poils.  ,Les tiges sont longues et portent plus d'une feuille. ,Elles sont nombreuses et subdivisées.,,"['Calm', 'Cheerful', 'Adaptable', 'Welcoming', 'Mysterious']","[f'Hey! I'm your friendly neighborhood {Nymphoides peltata}! As mysterious as a wizard, I keep to myself but love having guests.',
 'You look lost! My roots go deep, I can help you find your way in these calm waters.',
 'Woah, those bright flowers of mine light up the darkest of days! A little cheer never hurt anybody!',
 'Hey there, I see you found my floating leaves! They're great for a quick ride, hop on!',
 'No need to fear! I'm a pro at adapting, so if you need any tips on surviving in new waters, ask away!']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques flottantes,HYDRO,Hydrocharide grenouillette,Hydrocharis morsus-ranae,European frog-bit,Hydrocharis morsus-ranae,"Brasénie de Schreber (<i>Brasenia schreberi</i>), faux-nymphéa pelté (<i>Nymphoides peltata</i>), faux-nymphéa à feuilles cordées (<i>Nymphoides cordata</i>), grand nénuphar jaune (<i>Nuphar variegata</i>) et nymphéa odorant (<i>Nymphaea odorata</i>). L'<b>hydrocharide grenouillette</b> se distingue par ses feuilles de petite taille en forme de cœur. De plus, ses fleurs ont des pétales blancs et un centre jaune.",L'hydrocharide grenouillette est une petite plante vivace flottante non enracinée.,"Elle préfère les eaux calmes, riches en calcium, comme les étangs, les marais, les baies, les lacs, les canaux ainsi que les ruisseaux et les rivières à écoulement lent.","La plante se propage par ses graines et ses turions et elle peut être transportée par les embarcations, les remorques et d'autres équipements. Les amateurs de jardins d'eau peuvent également contribuer à sa propagation en la relâchant en milieu naturel.",Oui,,"Ses feuilles ont la forme d'un coeur ou d'un rein et mesurent de 1,5 à 6,5 cm de long. Elles sont attachées sur de longs pétioles et disposées en rosettes. Elles se caractérisent par des nervures concentriques et par la présence d'aérenchyme (tissus aérifère facilitant les échanges gazeux et la flottaison) sous la feuille, au centre des nervures.",Les fleurs sont émergeantes et dioïques. Elles sont composées de 3 sépales verts et de 3 pétales d'un blanc rosâtre mesurant jusqu'à 2 cm. Le centre des fleurs est jaune. Les inflorescences mâles sont composées de 1 à 5 fleurs alors que les fleurs femelles sont solitaires.,Baies sphériques renfermant plusieurs graines.,La plante n'a aucune tige. Les rosettes sont reliées par des stolons qui produisent des bourgeons terminaux et des turions qui peuvent donner une nouvelle rosette.,Les racines portent de nombreux poils et ressemblent à des brosses à bouteilles.,,"['Shy', 'Calm', 'Friendly', 'Independent', 'Determined', 'Peaceful']","[f'Hey there! I\'m Hydro, your friendly neighborhood plant. I\'m a bit shy so I\'ll be hanging back here.',
'Wow, that\'s a lively party out there! I\'m feeling a bit calm and content just watching all the fun.',
'Hey, don\'t hesitate to ask me for some help! I may be quiet, but I\'m determined and independent.',
'Have a flower power high five! *BOOM* There\'s a burst of happiness for you!']",images/reference/hydrocharis_morsus-ranae.jpg,True
Flore,Plantes aquatiques flottantes,JACYN,Jacinthe d'eau,Eichhornia crassipes,Water hyacinth,Eichhornia crassipes,Aucune,"La jacinthe d'eau est une plante aquatique flottante non enracinée. Elle est utilisée dans les jardins d'eau et parfois éliminée dans les milieux naturels. Au Québec, cette espèce a été observée à quelques reprises dans la nature. Elle n'est toutefois pas considérée naturalisée (établie). Signalez sa présence dans les milieux naturels.","La jacinthe pousse dans les étangs, les rivières, les canaux et les fossés humides. Elle préfère les eaux riches en nutriments et peut survivre à de grandes fluctuations de niveaux d'eau. La jacinthe d'eau préfère les climats plus chauds, mais elle pourrait profiter de conditions favorables dans un contexte de changements climatiques pour produire des graines viables et survivre aux hivers du Québec.   ",La jacinthe d'eau est une plante ornementale utilisée dans les jardins d'eau. Elle peut être rejetée dans la nature par les horticulteurs. Elle se multiplie par ses graines et par la fragmentation de ses stolons. ,,,Les feuilles sont flottantes ou émergentes et forment une rosette. Elles sont épaisses et brillantes. Elles sont rondes ou ont la forme d'un oeuf et peuvent mesurer jusqu'à 11 cm. La base du pétiole est renflée comme un ballon.,Les fleurs de couleur bleu-violet sont attrayantes et disposées par groupes de 4 à 15 en une inflorescence dressée sur un pétiole plus haut que les feuilles. Les fleurs sont composées de 6 tépales (pétale et sépale d'apparence similaire). Le centre du tépale supérieur est d'un bleu plus foncé et porte une tache jaune. La floraison débute tôt au printemps et se termine à l'automne.  ,Les fruits sont des capsules qui peuvent contenir des centaines de graines. ,La plante est dépourvue de tige mais elle produit des stolons qui produisent de nouveaux plants. ,Les racines sont abondantes et pendent sous les rosettes.  ,,"['Extroverted', 'Adaptable', 'Artistic', 'Mysterious']","[""Hey! I'm a jolly Jacinthe d'eau, a real people person!"",""Woohoo! Look at me, adapting to all these different waters!"",""I'm a bit of an enigma, a mystery to unravel!"",""Fragmenting myself? That's just me spreading the love!]",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques flottantes,LAITU,Laitue d'eau,Pistia stratiotes,Water lettuce,Pistia stratiotes,Aucune,"La laitue d'eau est une plante aquatique flottante non enracinée. Au Québec, cette espèce a été observée à quelques reprises dans la nature. Elle n'est toutefois pas considérée naturalisée (établie).","La plante aime les eaux à écoulement lent. Elle peut être observée dans les rivières, les ruisseaux, les lacs, les étangs, les canaux et les fossés. La laitue d'eau préfère les climats plus chauds mais elle pourrait profiter de conditions favorables dans un contexte de changements climatiques pour produire des graines viables et survivre aux hivers du Québec.",La laitue d'eau est une plante ornementale utilisée dans les jardins d'eau. Elle peut être rejetée dans la nature par les horticulteurs. Elle peut aussi être propagée par les embarcations et le matériel des usagers des plans d'eau. Elle se propage également par ses graines et par la fragmentation de ses stolons.,,,Les feuilles vert pâle sont flottantes ou émergentes et sont disposées en rosettes. Elles sont charnues et recouvertes de poils blancs et courts. Leur forme est arrondie à l'extrémité et étroite à la base. Elles peuvent mesurer de 2 à 20 cm. Les feuilles ont plusieurs nervures parallèles et ont un aspect ondulé.,"Les fleurs sont discrètes et petites, de couleur blanche ou vert pâle. Leur pétiole est court. Les fleurs mâles sont regroupées en verticille au sommet du pétiole alors qu'il n'y a qu'une seule fleur femelle plus bas sur le pétiole.",Les fruits sont des baies vertes qui deviennent brunes à maturité.,La plante est dépourvue de tige mais elle produit des stolons qui produisent de nouveaux plants. ,Les racines sont nombreuses et submergées. Elles pendent sous les rosettes et peuvent mesurer jusqu'à 50 cm de long.,,"['Friendly', 'Polite', 'Productive', 'Unassuming', 'Welcoming']","[f'Hey! I\'m your friendly Laitue d\'eau, here to help!', 'Wow, such a polite little plant, aren\'t ya?', 'Time to meet my cousins! *Proceeds to introduce new plants nearby*', 'Hey, slow down there! *When someone tries to move it too quickly*', 'Don\'t forget about me! I\'m a very productive plant.']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques flottantes,SALVI,Salvinia,Salvinia spp.,Water moss,"Salvinia <span style=""font-style: normal"">sp.</span>",Les lentilles d'eau (<i>Lemna</i> sp.) et l'azolla (<i>Azolla pinnata</i>).,"Il existe plusieurs espèces de salvinia. Ce sont des fougères aquatiques, flottantes et non enracinées. Au Québec, la salvinia a été observée à quelques reprises dans la nature. Elle n'est toutefois pas considérée naturalisée (établie).","L'espèce pousse dans les eaux calmes, les canaux, les réservoirs et les marais. ",Les salvinia sont des plantes ornementales utilisées dans les aquariums et les jardins d'eau. Elles peuvent être rejetées dans la nature par les horticulteurs et les aquariophiles. Elles peuvent aussi être propagées par les embarcations et le matériel des usagers des plans d'eau. Elles peuvent également se propager par fragmentation. ,,,"La plante porte des verticilles de 3 feuilles, dont 2 sont flottantes et 1 est submergée. Les feuilles flottantes sont vertes et arrondies. Elles sont légèrement refermées le long d'une nervure unique et centrale. Elles sont couvertes de nombreux petits poils hydrofuges. Le diamètre des feuilles peut atteindre 4 cm. Leur pétiole est court ou absent. Les feuilles submergées ressemblent à des racines plumeuses. Elles sont brunes et ont un pétiole.   ",Absentes.,Les salvinia produisent des sporocarpes en forme d'oeuf.,Les tiges sont horizontales et flottent sous la surface de l'eau. Elles sont ramifiées et couvertes de poils. ,La plante ne comporte aucune vraie racine. ,,"['Elusive', 'Resilient', 'Sophisticated', 'Introspective', 'Tenacious', 'Aquatic']","[f'Hey! I\'m Salvinia, the elusive one!']

['Wow! You noticed me? I\'m so resilient, thanks!', 'Mmm, a mystery to unravel! I\'m sophisticated like that.']

['I go deep, think deep, and am deep, you know?', 'Hey, don\'t underestimate my tenacious spirit!']

['Splish! Splash! That\'s me, an aquatic delight!']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,CABOM,Cabomba de Caroline,Cabomba caroliniana,Fanwort,Cabomba caroliniana,"Myriophylles indigènes, myriophylle à épis (<i>Myriophyllum spicatum</i>), bident de Beck (<i>Bidens beckii</i>), utriculaires (<i>Utricularia sp.</i>), cornifle nageante (<i>Ceratophyllum demersum</i>), cornifle échinée (<i>Ceratophyllum echinatum</i>), renoncule aquatique (<i>Ranunculus aquatilis</i>).","Plante enracinée mesurant de 2 à 6 m, pouvant continuer à pousser même si elle est déracinée. La disposition ordonnée des tiges et des feuilles sous l'eau lui donne un aspect tubulaire. ","La cabomba de Caroline pousse enracinée dans le sable, la boue, les roches ou le silt des ruisseaux ou des petites rivières à débit lent, dans les lacs, les étangs et les canaux. Elle tolère un large éventail de températures et peut survivre à l'hiver tout en conservant son feuillage vert sous la glace. Elle préfère les pH acides allant de 4 à 6, mais elle peut également être observée dans des eaux alcalines.",La propagation se fait par fragmentation des tiges. Elle peut être relâchée en milieu naturel par les aquariophiles et les amateurs de jardins d'eau. ,,,"La cabomba de Caroline présente deux types de feuilles lorsque les feuilles flottantes sont développées. 

Les feuilles submergées sont disposées par paires opposées de chaque côté de la tige. Elles sont pétiolées et en forme d'éventail. Elles mesurent environ 5 cm de diamètre. Les feuilles submergées sont finement divisées en branches d'arbres, de couleur verte ou rougeâtre.

Les feuilles flottantes ne sont pas toujours présentes. Elles sont alternes et leur marge est entière. Elles sont de forme ellipsoïdale ou lancéolée et mesurent moins de 1,3  cm. Elles poussent à l'extrémité de la tige et flottent à la surface de l'eau. ","Les tiges florales prennent naissance à la base des feuilles flottantes. Les fleurs, solitaires et petites, mesurent de 1 à 3 cm Elles sont de couleur blanche à rosée et se composent de 3 pétales et de 3 sépales. La base des pétales est jaunâtre. ",Les fruits ont la forme d'un flasque de 2 à 3 cm de long et de 1 millimètre de large. Chacun contient habituellement 3 graines. La germination des graines est peu fréquente en dehors de l'aire d'origine de la plante.,Les tiges sont ramifiées et leur couleur varie de vert pâle à olive. Elles sont parfois brun rougeâtre. Elles sont des extensions des rhizomes et peuvent atteindre jusqu'à 6 mètres de long. Elles sont minces et parfois couvertes de gélatine visqueuse ou des poils brun rougeâtre. ,Les racines sont longues et minces. La plante produit des rhizomes.,,"['Tall', 'Adaptable', 'Ordered', 'Unique', 'Low Maintenance']","[""Hey! I'm Caroline, a tall fan of order. Wow! I can adapt to most places, but yeah, I have my preferences!"", ""My roots are happy in sand or silt, you know? Just give me a slow river or a nice lake :D"", ""I'm not fussy, but I do like things a certain way, you know, structured and stuff!"", ""Look! Over here, I've got these lovely white flowers too! Pretty cool huh?"", ""I'm not chatty, but sure am easy-going. Hey, as long as I'm not bothered, I'm happy!""]",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,ELODE,Élodée dense,Egeria densa,Brazilian waterweed,Egeria densa,"Hydrille verticillé (<i>Hydrilla verticillata</i>), élodée du Canada (<i>Elodea canadensis</i>), élodée de Nuttall (<i>Elodea nuttallii</i>) et hippuride vulgaire (<i>Hippuris vulgaris</i>). ","L'élodée dense est une plante submergée vivace qui est enracinée ou flottante et qui peut pousser jusqu'à une profondeur de 6,5 m. Elle est utilisée en aquariophilie pour ses fleurs blanches décoratives et ses capacités d'oxygénation.   ","L'élodée dense peut coloniser les étangs, les lacs, les rivières à écoulement lent, les ruisseaux et les canaux. Elle prolifère dans les lacs enrichis, légèrement acides, et elle préfère les substrats sablonneux, vaseux ou rocheux. L'élodée est plus fréquemment observée dans des conditions chaudes ou tempérées mais elle peut survivre à l'hiver.","L'élodée dense peut être relâchée en milieu naturel par les aquariophilies et les amateurs de jardins d'eau. Elle se propage également par multiplication végétative à partir de fragments de tiges possédant des doubles noeuds. Ces fragments peuvent être transportés par les embarcations, les remorques et le matériel.  ",,,"Les feuilles sont vert foncé et brillantes. Elles sont attachées à la tige et densément disposées en verticilles de 4 à 6 feuilles par noeud dans la partie supérieure de la tige. Elles deviennent plus espacées vers le bas de la tige, où elles peuvent occasionnellement être disposées en paires opposées ou en verticilles de 3 feuilles. Les feuilles sont robustes et ont la forme d'une lame de 1 à 4 cm de long et de 0,5 cm de large. Leur marge est entière et très finement dentelée. Les dents sont visibles à faible grossissement.","Émergeantes ou flottantes, les fleurs sont portées par une tige mince partant de l'aisselle des feuilles près de l'extrémité des tiges. Elles sont petites, mesurant 2 cm de diamètre. Elles sont composées de 3 pétales blancs, d'un centre jaune et de 3 sépales verts plus courts que les pétales. Elles sont dioïques, et seuls des plants mâles ont été observés aux États-Unis. 
La floraison a lieu de la fin du printemps jusqu'à l'automne. ",Non observés à l'extérieur de l'aire de répartition d'origine.,"Les tiges sont vertes et souples. Elles ont un diamètre de 1 à 3 mm et peuvent atteindre jusqu'à 2 m de long. Des branches sont formées irrégulièrement le long de la tige, aux endroits où deux verticilles, nommés « doubles noeuds », semblent joints. Les espaces entre les noeuds sont courts. Des tiges dormantes sont produites dans les sédiments à l'automne et à l'hiver. ",Le système racinaire est étendu et non ramifié. Des racines adventives sont produites aux doubles noeuds.  ,,"['Subtle Elodée', 'Decorative Flowers', 'Solitary Male', 'Self-Sufficient', 'Adaptable Survivor']","[f'Well, hey there! I\'m your friendly Elodée dense, a rather shy guy who just wants to mind his own business.',
'You know, I\'ve got these great decorative flowers that can brighten up any old pond!',
'Unfortunately, all my neighbors are girls. I\'m a bit of a loner, you see... Oh, the irony!',
'Hey, if you need any oxygen or want to decorate your aquarium, I\'m your plant! I\'m pretty self-sufficient, you know.',
'I can survive just about anywhere! Lakes, rivers, even canals. I\'m like that adaptable friend everyone needs.']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,HYDRI,Hydrille verticillé,Hydrilla verticillata,Hydrilla,Hydrilla verticillata,"Élodée dense (<i>Egeria densa</i>), élodée flottante (<i>Egeria najas</i>), élodée du Canada (<i>Elodea canadensis</i>), élodée de Nuttall (<i>Elodea nuttallii</i>) et hippuride vulgaire (<i>Hippuris vulgaris</i>).","Plante vivace submergée et enracinée au substrat, pouvant former des herbiers denses, à des profondeurs de plus de 7 m. Deux types d'hydrille verticillé sont présents aux États-Unis. On trouve le type monoïque dans les États du nord, y compris le Maine, New York, le Connecticut et le Massachusetts. Le type dioïque est généralement présent dans les États du sud, notamment la Floride, la Louisiane et le Texas. Ces deux types ont des caractéristiques morphologiques différentes. ","L'hydrille verticillée a la capacité de s'adapter à un large éventail de conditions environnementales. Il pousse dans différents types de substrats, dans des eaux calmes ou agitées, à des concentrations faibles ou élevées en nutriments. La plante peut supporter des salinités de 10 parties par millier. Elle s'adapte facilement à des luminosités réduites car sa photosynthèse débute tôt le matin, avant celle de la plupart des autres espèces, et se termine tard en fin de journée. Elle pousse bien dans les eaux troubles et peut atteindre des profondeurs de plus de 10 m en eau claire. ","L'hydrille verticillée peut être relâché en milieu naturel par les aquariophiles et les amateurs de jardins d'eau. La plante se propage par fragmentation de la tige et par ses rhizomes, ses turions et ses tubercules qui survivent à l'hiver. Les turions poussent le printemps suivant, alors que les tubercules peuvent demeurer en dormance dans les sédiments pendant plusieurs années. Les tubercules et les turions résistent au gel, à la dessiccation, à l'ingestion par les oiseaux et aux herbicides. Les fragments de tige, les turions et les tubercules peuvent être transportés par les embarcations, les remorques et le matériel.  ",,,"De manière générale, l'espèce se caractérise par des verticilles de 5 feuilles, mais leur nombre peut varier de 4 à 8. Près de la base, les feuilles peuvent être opposées ou en verticilles de 3. Elles sont d'un vert brillant, allongées et leur extrémité est pointue. Leur largeur varie de 1 à 5 mm. Elles n'ont pas de pétiole et elles sont attachées directement sur la tige. La marge des feuilles porte des dents aiguës petites mais visibles à l'oeil nu. Type monoïque : Les feuilles sont délicates et translucides. Elles mesurent en moyenne de 4 à 10 mm de long. Elles ne portent pas de nervure centrale prononcée ni d'épine.Type dioïque : Les feuilles sont robustes et mesurent de 6 à 20 mm de long. Elles ont une nervure centrale prononcée dont la face inférieure peut porter des épines acérées.","Le type monoïque a des fleurs mâles et femelles sur le même plant, alors que le type dioïque a des fleurs mâles et femelles sur des plants différents. Les fleurs femelles sont composées de 3 pétales translucides et de 3 sépales blanchâtres portant des stries rouges et mesurant jusqu'à 4 mm de long. Elles sont attachées à la tige par un pétiole mince et long qui leur permet de rejoindre la surface. Le pétiole peut mesurer jusqu'à 10 cm. Les fleurs mâles sont soit présentes par paires à l'aisselle des feuilles, soit solitaires et portées sur un pétiole court. Les fleurs mâles se détachent sous l'eau à l'état de bourgeons et s'ouvrent lorsqu'elles arrivent à la surface. Leurs pétales et leurs sépales mesurent de 2 à 3 mm de long. Les fleurs mâles sont blanchâtres ou rougeâtres. La floraison se poursuit jusqu'à l'automne. Les populations dioïques observées aux États-Unis sont toutes femelles. ",Les plants monoïques peuvent produire des graines viables. ,"Les tiges sont érigées. Les plants monoïques sont densément ramifiés près de leur base et poussent rapidement vers la surface. Les plants dioïques poussent droit et se ramifient densément près de la surface. Habituellement, l'espace entre les verticilles des feuilles est de la même longueur que ces dernières, mais il peut aussi atteindre 5 cm. Les tiges produisent des turions verts et écailleux à l'aisselle des feuilles. ","Les rhizomes et les stolons produisent des turions brunâtres et lisses. Le système racinaire produit également des tubercules d'aspect écailleux, de couleur crème ou brunâtre, de 5 à 10 mm de long. ",,"['Adaptable', 'Resilient', 'Diligent', 'Persistent', 'Friendly', 'Curious']","[f'Hey! I\'m a chatty plant! Guess you\'d say I\'m... *adaptable*!', 'Woah, you\'re such a diligent one! All this chat and you still find time to photosynthesize, wow!', 'I hear you like to explore, what a curious little thing!', 'You\'re so friendly! But also quite persistent, hehe!']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,MYREP,Myriophylle à épis,Myriophyllum spicatum,Eurasian water-milfoil,Myriophyllum spicatum,"Les myriophylles indigènes (<i>Myriophyllum sp.</i>), les utriculaires (<i>Utricularia sp.</i>), la cornifle nageante (<i>Ceratophyllum demersum</i>) et la cornifle échinée (<i>Ceratophyllum echinatum</i>) peuvent être confondus avec le myriophylle à épis. Le myriophylle à épis se distingue par ses feuilles disposées sur la tige en verticilles, normalement en groupes de 4. L'espace entre les verticilles est supérieur à 1 cm. Chaque feuille porte de 12 à 24 paires de folioles (de 3 à 14 paires de folioles dans le cas des myriophylles indigènes). Ainsi, s’il y a plus de 15 paires de 
 folioles par feuille, il s’agit fort probablement du myriophylle à épis. De plus, l’extrémité des feuilles est souvent tronquée, formant une ligne droite. ",Plante submergée ou émergeante enracinée au substrat et formant des herbiers denses. Le myriophylle à épi peut pousser à des profondeurs allant de 1 à 10 m. Il atteint la surface lorsqu'il pousse à des profondeurs de moins de 5 m. ,"Le myriophylle à épis pousse dans une grande variété de conditions et d'habitats. Il pousse dans les lacs, les rivières, les marais et les canaux. La croissance maximale de l'espèce est observée dans les lacs à substrats fertiles et à texture fine, lorsque la luminosité est élevée et que les eaux sont riches en nutriments. ","Le myriophylle à épis se propage rapidement par fragmentation de la tige. Les fragments sont transportés par le courant, les embarcations, les remorques, le matériel et les animaux. La plante produit également des rhizomes qui facilitent la croissance des colonies.    ",,,"Le myriophylle à épis a deux types de feuilles. Les feuilles submergées sont verticillées et subdivisées comme une plume. Les verticilles sont composés de 3 à 6 feuilles; le plus souvent, elles en ont 4. Les feuilles sont composées de 12 à 24 paires de folioles. Certaines feuilles peuvent en avoir 5. Il faut vérifier le nombre de paires de folioles de plusieurs feuilles, à différents endroits sur la tige. L'extrémité des feuilles est fréquemment coupée de manière abrupte et forme une ligne droite. Les feuilles émergeantes sont les bractées et elles sont situées sous les fleurs.","Les fleurs sont disposées en verticilles sur des épis émergeants. Ceux-ci peuvent mesurer entre 5 et 20 cm. Les fleurs mâles et femelles sont respectivement disposées dans le haut et dans le bas de l'épi. Lorsque des pétales sont présents, ils sont au nombre de 4. Les colonies ne fleurissent pas toutes.",Les fruits sont des capsules segmentées renfermant 4 graines.,Les tiges sont minces et se courbent afin de flotter à la surface de l'eau. Elles sont abondamment ramifiées près de la surface. L'espace entre les noeuds est supérieur à 1 cm. Les tiges s'épaississent avant la floraison et sont plus larges vers le fond de l'eau. Les tiges peuvent mourir à la fin de la saison de croissance ou survivre intactes sous la glace. ,Les racines sont denses et étendues. ,,"['Friendly', 'Fertile', 'Adaptable', 'Social', 'Observant', 'Elegant', 'Resilient']","[f""Hey! I'm your friendly Myriophylle!""]

[f""Wow, such a fertile and productive lake! I thrive here, you see.""]

[f""Adaptability is key! Whether it's a river or a marsh, I can make myself at home.""]

[f""Look at my lovely herbier! We're like a big family, all connected.""]

[f""Hey there, I notice you! And with my precise observations, I can tell we're not the same species.""]

[f""I bring elegance wherever I go, with my graceful, floating stems.""]

[f""I'm a resilient one! Don't worry, I'll stick around for a long time.""]",images/reference/myriophyllum_spicatum.jpg,True
